First Name,Last Name,Position,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
Keon,Johnson,SG,40,0,10.4,4.7,0.3,0.8,1.1,1.5,0.5,0.2,1.1,1.1,1.4
Justin,Minaya,F,4,0,22.3,4.3,0.8,3.0,3.8,1.0,0.5,1.3,1.0,2.3,1.0
Gary,Payton II,SG,15,1,17.0,4.1,0.7,1.9,2.6,1.5,1.1,0.1,0.8,1.9,1.8
Jabari,Walker,F,56,0,11.1,3.9,0.9,1.5,2.3,0.6,0.2,0.2,0.5,1.2,1.2
Ryan,Arcidiacono,G,9,4,16.2,2.6,0.0,1.2,1.2,2.3,0.3,0.0,0.7,1.6,3.5
John,Butler Jr.,F,19,1,11.6,2.4,0.2,0.7,0.9,0.6,0.4,0.5,0.1,1.2,11.0
Greg,Brown III,PF,16,0,5.8,1.8,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,0.5
Lauri,Markkanen,PF,66,66,34.4,25.6,2.0,6.7,8.6,1.9,0.6,0.6,1.9,2.1,1.0
Jordan,Clarkson,PG,61,61,32.6,20.8,1.2,2.9,4.0,4.4,0.5,0.2,3.0,2.0,1.5
Collin,Sexton,PG,48,15,23.9,14.3,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,1.6
Malik,Beasley,SG,55,13,26.8,13.4,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,1.6
Kris,Dunn,G,22,3,25.8,13.2,0.4,4.1,4.5,5.6,1.1,0.5,1.6,2.6,3.5
Kelly,Olynyk,PF,68,68,28.6,12.5,1.2,5.0,6.2,3.7,0.9,0.5,2.5,3.4,1.5
Talen,Horton-Tucker,SG,65,20,20.2,10.7,0.6,2.6,3.2,3.8,0.6,0.4,1.9,1.7,2.0
Mike,Conley,PG,43,42,29.7,10.7,0.4,2.1,2.5,7.7,1.0,0.2,1.7,2.2,4.5
Luka,Samanic,F,7,4,23.0,9.9,0.0,4.3,4.3,2.1,0.9,0.3,1.4,2.4,1.5
Walker,Kessler,C,74,40,23.0,9.2,3.1,5.3,8.4,0.9,0.4,2.3,0.8,2.3,1.2
Jarred,Vanderbilt,PF,52,41,24.1,8.3,2.3,5.5,7.9,2.7,1.0,0.3,1.3,2.6,2.1
Ochai,Agbaji,G,59,22,20.5,7.9,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,1.6
Nickeil,Alexander-Walker,SG,36,3,14.7,6.3,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,1.7
Simone,Fontecchio,F,52,6,14.7,6.3,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,1.1
Jarrell,Brantley,PF,4,0,9.8,5.5,0.3,1.3,1.5,0.8,0.0,0.5,0.5,0.8,1.5
Rudy,Gay,SF,56,0,14.6,5.2,0.6,2.3,2.9,1.0,0.3,0.3,0.7,1.2,1.5
Johnny,Juzang,G,18,0,12.9,4.8,0.4,1.7,2.2,0.4,0.2,0.2,0.2,0.7,2.7
Damian,Jones,C,19,0,15.8,4.6,1.3,2.3,3.5,0.6,0.3,0.5,0.7,2.0,0.8
Udoka,Azubuike,C,36,4,10.0,3.5,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,0.6
Micah,Potter,C,7,0,7.4,3.4,0.4,1.9,2.3,0.6,0.1,0.0,0.3,0.7,2.0
Juan,Toscano-Anderson,SF,22,2,15.2,3.4,0.6,2.2,2.9,1.8,0.3,0.1,0.8,1.5,2.4
Leandro,Bolmaro,F,14,0,4.9,0.4,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,1.0
Frank,Jackson,G,1,0,5.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,INF
Stephen,Curry,PG,13,13,37.9,30.5,0.7,4.5,5.2,6.1,1.0,0.5,3.2,2.6,1.9
Klay,Thompson,SG,13,13,36.0,18.5,0.1,4.1,4.2,2.2,0.5,0.3,2.0,2.2,1.1
Andrew,Wiggins,SF,13,12,34.0,16.7,1.8,3.8,5.6,1.9,0.8,1.2,1.3,3.5,1.5
Jordan,Poole,SG,13,4,21.8,10.3,0.3,1.8,2.2,3.5,0.8,0.2,1.2,2.5,3.1
Draymond,Green,PF,12,9,30.6,9.4,1.6,5.3,6.9,6.8,1.5,1.0,2.3,4.0,3.0
Gary,Payton II,SG,12,3,15.9,6.8,1.8,1.8,3.7,0.8,0.7,0.5,0.9,1.6,0.8
Kevon,Looney,F,13,8,25.0,6.5,4.7,8.4,13.1,3.3,0.6,0.4,1.0,2.8,3.3
Moses,Moody,SG,12,0,13.4,5.8,0.6,2.0,2.6,0.7,0.4,0.3,0.2,1.5,4.0
Donte,DiVincenzo,SG,13,1,18.1,5.5,0.8,2.2,3.0,2.8,0.8,0.2,1.3,1.5,2.1
Jonathan,Kuminga,PF,10,0,6.1,3.4,0.4,0.5,0.9,0.5,0.2,0.0,0.4,0.5,1.3
JaMychal,Green,F,7,2,7.0,3.3,0.0,0.7,0.7,0.4,0.0,0.1,0.3,1.4,1.5
Anthony,Lamb,F,6,0,5.2,0.8,0.2,0.8,1.0,0.0,0.2,0.2,0.3,0.5,0.0
Patrick,Baldwin Jr.,F,3,0,3.7,0.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,INF
Kawhi,Leonard,SF,2,2,40.0,34.5,1.5,5.0,6.5,6.0,2.0,0.5,3.0,2.5,2.0
Russell,Westbrook,PG,5,5,38.4,23.6,1.8,5.8,7.6,7.4,1.2,1.4,4.0,3.0,1.9
Norman,Powell,G,5,3,33.4,21.8,0.8,2.2,3.0,2.2,0.8,0.4,1.6,3.2,1.4
Terance,Mann,SG,5,0,26.6,10.6,1.4,1.8,3.2,2.2,0.8,0.2,1.8,3.4,1.2
Eric,Gordon,SG,5,5,29.8,10.2,0.2,1.2,1.4,2.6,0.6,0.4,0.8,2.4,3.3
Ivica,Zubac,C,5,5,26.0,9.2,3.2,6.4,9.6,0.6,0.6,0.2,2.2,1.6,0.3
Marcus,Morris Sr.,SF,3,2,22.7,8.7,0.3,3.7,4.0,0.0,0.3,0.3,0.3,2.0,0.0
Bones,Hyland,PG,5,0,16.4,8.6,0.2,0.6,0.8,0.8,0.8,0.2,0.8,1.8,1.0
Mason,Plumlee,C,5,0,18.2,8.2,3.2,3.6,6.8,1.8,0.4,0.4,0.6,3.0,3.0
Nicolas,Batum,PF,5,3,18.4,4.4,0.2,2.0,2.2,1.2,0.4,0.4,0.4,2.0,3.0
Robert,Covington,PF,2,0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,INF
Amir,Coffey,SG,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason,Preston,PG,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon,Boston Jr.,SG,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LeBron,James,SF,16,16,38.7,24.5,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,2.6
Anthony,Davis,PF,16,16,38.0,22.6,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,1.2
Austin,Reaves,SG,16,16,36.2,16.9,1.3,3.2,4.4,4.6,0.6,0.2,1.6,2.4,2.9
D'Angelo,Russell,PG,16,15,29.6,13.3,0.6,2.3,2.9,4.6,0.7,0.3,1.8,2.0,2.6
Rui,Hachimura,PF,16,1,24.3,12.2,0.6,3.1,3.6,0.6,0.5,0.3,0.6,1.6,1.0
Dennis,Schroder,PG,16,3,26.1,7.4,0.2,1.8,1.9,2.9,1.0,0.2,1.3,2.5,2.3
Lonnie,Walker IV,G,13,0,13.8,6.2,0.1,0.8,0.9,0.8,0.5,0.1,0.3,1.2,2.8
Jarred,Vanderbilt,PF,15,13,16.5,4.6,1.3,1.9,3.2,0.8,0.7,0.8,0.9,2.1,0.9
Malik,Beasley,SG,11,0,8.3,3.0,0.3,0.5,0.7,0.2,0.1,0.0,0.2,0.5,1.0
Tristan,Thompson,C,6,0,5.3,1.8,0.7,1.0,1.7,0.3,0.0,0.0,0.2,0.2,2.0
Troy,Brown Jr.,SF,12,0,10.3,1.8,0.3,1.7,2.0,0.9,0.2,0.1,0.0,0.3,INF
Max,Christie,G,9,0,3.7,1.4,0.1,0.7,0.8,0.3,0.0,0.1,0.0,0.0,INF
Shaquille,Harrison,G,8,0,3.5,1.3,0.0,0.4,0.4,1.1,0.3,0.0,0.0,0.4,INF
Wenyen,Gabriel,F,10,0,3.7,1.0,0.8,0.1,0.9,0.0,0.2,0.3,0.2,0.8,0.0
Mo,Bamba,C,3,0,3.3,0.0,0.0,1.0,1.0,0.3,0.0,0.3,0.0,0.0,INF
Devin,Booker,SG,11,11,41.7,33.7,1.1,3.7,4.8,7.2,1.7,0.8,2.9,3.4,2.5
Kevin,Durant,PF,11,11,42.4,29.0,0.6,8.1,8.7,5.5,0.8,1.4,3.5,2.6,1.6
Deandre,Ayton,C,10,10,31.9,13.4,2.9,6.8,9.7,1.0,0.6,0.7,1.7,3.5,0.6
Chris,Paul,PG,7,7,35.7,12.4,0.7,4.3,5.0,7.4,1.7,0.7,1.0,2.3,7.4
Cameron,Payne,PG,7,4,21.7,8.1,0.0,2.0,2.0,2.9,0.4,0.3,1.3,2.1,2.2
Torrey,Craig,SF,11,5,16.6,6.5,0.6,1.6,2.3,0.5,0.5,0.2,0.3,2.1,2.0
Jock,Landale,C,7,1,16.1,6.1,1.4,2.6,4.0,0.4,0.4,0.4,0.3,2.1,1.5
Landry,Shamet,SG,10,1,18.4,4.8,0.3,1.4,1.7,1.1,0.2,0.1,0.4,1.5,2.8
Josh,Okogie,SF,10,5,17.5,4.1,1.2,0.9,2.1,1.3,0.6,0.2,0.3,1.8,4.3
Terrence,Ross,G,6,0,11.5,3.7,0.0,1.3,1.3,0.2,0.2,0.3,0.2,1.0,1.0
Bismack,Biyombo,C,8,0,9.8,3.4,1.3,2.1,3.4,0.8,0.0,1.3,0.8,2.3,1.0
T.J.,Warren,SF,6,0,13.5,2.7,0.3,0.8,1.2,0.5,0.2,0.5,0.2,0.8,3.0
Damion,Lee,SG,8,0,11.1,2.1,0.5,0.9,1.4,0.6,0.3,0.0,0.1,1.0,5.0
Ish,Wainright,F,6,0,3.5,0.5,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.3,0.0
De'Aaron,Fox,PG,7,7,38.6,27.4,1.7,3.7,5.4,7.7,2.1,0.6,4.0,3.3,1.9
Malik,Monk,SG,7,0,29.3,19.0,0.9,4.6,5.4,3.6,0.7,0.4,2.0,2.1,1.8
Domantas,Sabonis,PF,7,7,34.7,16.4,4.4,6.6,11.0,4.7,1.4,0.9,3.7,4.0,1.3
Harrison,Barnes,SF,7,7,28.1,10.7,1.4,2.0,3.4,0.7,1.1,0.3,0.4,0.7,1.7
Keegan,Murray,SF,7,7,27.7,9.7,2.1,4.1,6.3,0.7,0.6,0.3,0.6,2.6,1.3
Kevin,Huerter,SG,7,7,26.1,9.1,0.1,4.3,4.4,1.1,0.4,1.3,0.6,3.3,2.0
Davion,Mitchell,PG,7,0,20.0,7.1,0.4,0.9,1.3,1.7,0.9,0.1,0.9,1.0,2.0
Trey,Lyles,PF,7,0,16.9,6.6,1.3,4.4,5.7,0.7,0.3,0.0,0.4,1.7,1.7
Terence,Davis,SG,4,0,14.5,6.0,0.5,1.8,2.3,1.5,0.3,0.0,0.5,3.0,3.0
Alex,Len,C,7,0,7.7,2.7,1.0,1.9,2.9,0.1,0.0,0.4,1.0,2.1,0.1
PJ,Dozier,G,3,0,2.0,2.7,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Chimezie,Metu,PF,3,0,2.0,0.7,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0
Kessler,Edwards,SF,6,0,1.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Trae,Young,PG,6,6,38.3,29.2,0.8,2.8,3.7,10.2,1.7,0.7,4.0,1.8,2.5
Dejounte,Murray,SG,5,5,38.0,23.0,1.8,5.4,7.2,6.8,2.0,0.2,2.0,1.4,3.4
De'Andre,Hunter,SF,6,6,37.3,16.7,1.2,4.5,5.7,1.2,0.7,0.3,1.5,3.3,0.8
Bogdan,Bogdanovic,SG,6,1,26.2,13.3,0.3,2.7,3.0,2.5,1.0,0.8,0.5,2.7,5.0
John,Collins,PF,6,6,27.3,11.3,1.2,3.2,4.3,0.8,0.3,1.0,1.5,2.2,0.6
Clint,Capela,C,6,6,25.2,8.3,2.5,5.8,8.3,0.5,1.0,0.5,0.7,0.8,0.8
Saddiq,Bey,SF,6,0,22.2,7.5,1.2,2.8,4.0,1.0,0.5,0.0,0.3,0.5,3.0
Onyeka,Okongwu,PF,6,0,21.8,6.0,3.2,3.2,6.3,1.2,0.3,1.3,1.2,3.0,1.0
Jalen,Johnson,SF,6,0,9.3,4.3,0.3,2.2,2.5,1.3,0.5,0.0,0.8,0.8,1.6
Aaron,Holiday,G,1,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
LaMelo,Ball,PG,36,36,35.2,23.3,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,2.4
Terry,Rozier,SG,63,63,35.3,21.1,0.8,3.3,4.1,5.1,1.2,0.3,2.1,1.9,2.4
Kelly,Oubre Jr.,SG,48,40,32.3,20.3,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,0.8
P.J.,Washington,PF,73,73,32.6,15.7,1.0,3.9,4.9,2.4,0.9,1.1,1.5,2.6,1.6
Gordon,Hayward,SF,50,50,31.5,14.7,0.7,3.6,4.3,4.1,0.8,0.2,2.0,1.4,2.1
Mason,Plumlee,C,56,56,28.5,12.2,3.3,6.3,9.7,3.7,0.6,0.6,1.6,2.9,2.4
Jalen,McDaniels,PF,56,21,26.7,10.6,0.8,4.0,4.8,2.0,1.2,0.5,1.4,2.8,1.4
Svi,Mykhailiuk,SG,19,8,22.5,10.6,0.8,1.6,2.4,2.7,0.7,0.2,1.2,1.2,2.4
Mark,Williams,C,43,17,19.3,9.0,2.2,4.9,7.1,0.4,0.7,1.0,0.9,2.2,0.5
Dennis,Smith Jr.,PG,54,15,25.7,8.8,0.5,2.6,3.1,4.8,1.4,0.5,1.5,2.3,3.2
Nick,Richards,C,65,9,18.7,8.2,2.3,4.1,6.4,0.6,0.2,1.1,0.9,2.4,0.6
Theo,Maledon,PG,44,7,19.4,6.7,0.3,2.5,2.8,3.5,0.8,0.3,1.3,1.4,2.6
James,Bouknight,SG,34,0,15.1,5.6,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,1.3
Bryce,McGowens,G,46,7,17.1,5.3,0.4,1.6,2.0,1.2,0.3,0.1,0.9,1.0,1.3
Cody,Martin,SF,7,0,19.1,5.0,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5.5
Xavier,Sneed,F,4,0,12.0,4.3,0.0,1.3,1.3,1.3,0.0,0.3,0.8,1.8,1.7
JT,Thor,F,69,8,14.0,3.8,0.5,1.7,2.2,0.5,0.3,0.3,0.6,1.0,0.8
Kai,Jones,PF,46,0,12.0,3.4,0.8,1.9,2.7,0.3,0.4,0.7,0.7,1.4,0.5
Kobi,Simmons,G,5,0,5.6,1.0,0.2,0.6,0.8,1.0,0.0,0.4,0.2,0.0,5.0
Jimmy,Butler,SF,22,22,39.7,26.9,2.1,4.3,6.5,5.9,1.8,0.6,1.9,1.7,3.1
Bam,Adebayo,C,23,23,37.0,17.9,2.7,7.1,9.9,3.7,0.8,0.7,2.7,3.1,1.4
Gabe,Vincent,PG,22,22,30.5,12.7,0.4,1.0,1.4,3.5,0.9,0.2,1.4,3.0,2.5
Caleb,Martin,SF,23,4,30.2,12.7,1.2,4.3,5.4,1.6,0.9,0.4,1.0,2.4,1.5
Tyler,Herro,PG,1,1,19.0,12.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0
Victor,Oladipo,SG,2,0,22.5,11.5,0.5,3.0,3.5,1.0,1.0,0.5,1.0,2.5,1.0
Max,Strus,SG,23,23,28.1,9.3,0.6,3.0,3.6,1.4,0.3,0.3,0.3,2.0,5.5
Kyle,Lowry,PG,23,1,26.0,9.2,0.5,3.0,3.5,4.4,1.0,0.6,1.7,2.6,2.5
Duncan,Robinson,F,23,1,18.2,9.0,0.0,1.4,1.5,1.7,0.3,0.1,0.9,1.6,2.0
Kevin,Love,PF,20,18,18.0,6.9,0.7,4.9,5.6,1.2,0.5,0.4,0.5,1.8,2.4
Haywood,Highsmith,F,18,0,8.9,3.3,0.6,0.8,1.3,0.3,0.6,0.1,0.1,1.1,2.5
Cody,Zeller,C,21,0,8.3,2.2,0.5,1.8,2.3,0.3,0.1,0.2,0.6,1.3,0.5
Omer,Yurtseven,C,8,0,2.0,0.5,0.4,0.3,0.6,0.1,0.0,0.1,0.1,0.3,1.0
Nikola,Jovic,F,7,0,1.9,0.3,0.1,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Udonis,Haslem,PF,2,0,1.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Paolo,Banchero,PF,72,72,33.8,20.0,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,1.3
Franz,Wagner,SF,80,80,32.6,18.6,0.9,3.2,4.1,3.5,1.0,0.2,2.1,2.3,1.7
Wendell,Carter Jr.,C,57,54,29.6,15.2,2.1,6.6,8.7,2.3,0.5,0.6,1.9,2.8,1.2
Markelle,Fultz,PG,60,60,29.6,14.0,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2,2.5
Cole,Anthony,PG,60,4,25.9,13.0,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,2.6
Moritz,Wagner,C,57,18,19.5,10.5,1.2,3.3,4.5,1.5,0.6,0.2,1.2,2.4,1.2
Jalen,Suggs,SG,53,19,23.5,9.9,1.0,2.0,3.0,2.9,1.3,0.5,1.8,2.3,1.6
Bol,Bol,C,70,33,21.5,9.1,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,0.6
Gary,Harris,SG,48,42,24.7,8.3,0.4,1.6,2.0,1.2,0.9,0.3,0.6,1.9,2.1
Terrence,Ross,G,42,9,22.5,8.0,0.2,1.8,2.0,1.3,0.6,0.2,0.9,1.3,1.5
Mo,Bamba,C,40,6,17.0,7.3,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,1.9
Jay,Scrubb,G,2,0,15.0,6.5,0.0,3.0,3.0,0.5,1.0,0.0,1.5,1.0,0.3
Goga,Bitadze,C,17,1,15.0,5.8,2.1,3.1,5.2,1.2,0.4,0.9,0.6,1.8,2.1
R.J.,Hampton,PG,26,0,13.9,5.7,0.3,1.2,1.5,1.3,0.6,0.2,0.8,0.8,1.6
Jonathan,Isaac,PF,11,0,11.3,5.0,1.4,2.6,4.0,0.5,1.3,0.4,0.4,0.5,1.5
Chuma,Okeke,PF,27,8,19.2,4.7,1.0,2.6,3.6,1.4,0.7,0.4,0.6,1.5,2.2
Michael,Carter-Williams,G,4,0,11.0,4.3,0.3,1.0,1.3,1.8,0.3,0.3,1.0,1.3,1.8
Admiral,Schofield,SF,37,0,12.2,4.2,0.6,1.1,1.7,0.8,0.2,0.1,0.4,1.6,1.9
Kevon,Harris,G,34,0,13.4,4.1,0.8,1.2,2.1,0.5,0.5,0.1,0.6,1.6,0.8
Caleb,Houstan,G,51,4,15.9,3.8,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,1.7
Bradley,Beal,SG,50,50,33.5,23.2,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,1.9
Kristaps,Porzingis,C,65,65,32.6,23.2,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3.0,1.3
Kyle,Kuzma,SF,64,64,35.0,21.2,0.9,6.4,7.2,3.7,0.6,0.5,3.0,2.3,1.3
Rui,Hachimura,PF,30,0,24.3,13.0,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,1.0
Corey,Kispert,SF,74,45,28.3,11.1,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,1.6
Monte,Morris,PG,62,61,27.4,10.3,0.4,3.0,3.4,5.3,0.7,0.2,1.0,1.2,5.4
Deni,Avdija,SF,76,40,26.6,9.2,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,1.7
Daniel,Gafford,C,78,47,20.6,9.0,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,1.0
Will,Barton,G,40,0,19.6,7.7,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1.0,2.1
Kendrick,Nunn,G,31,0,14.1,7.5,0.3,1.4,1.7,1.8,0.5,0.1,1.1,1.0,1.6
Delon,Wright,SG,50,14,24.4,7.4,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,4.4
Jay,Huff,C,7,0,13.6,7.3,0.9,2.1,3.0,1.4,0.4,0.6,0.7,2.1,2.0
Jordan,Goodwin,G,62,7,17.8,6.6,0.9,2.4,3.3,2.7,0.9,0.4,0.9,1.5,2.9
Quenton,Jackson,G,9,0,15.0,6.2,0.2,0.7,0.9,1.7,0.4,0.1,0.4,1.1,3.8
Johnny,Davis,G,28,5,15.1,5.8,0.3,1.9,2.3,1.0,0.4,0.3,0.6,1.7,1.8
Xavier,Cooks,G,10,1,12.6,3.8,1.6,2.2,3.8,0.6,0.6,0.4,0.8,1.3,0.8
Taj,Gibson,F,49,2,9.8,3.4,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,1.3
Anthony,Gill,PF,59,8,10.6,3.3,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,2.3
Jordan,Schakel,F,2,0,3.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,INF
Isaiah,Todd,PF,6,1,10.2,1.5,0.3,1.7,2.0,0.7,0.2,0.0,0.3,0.7,2.0
Vernon,Carey Jr.,C,11,0,2.5,0.5,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,1.5
Devon,Dotson,G,6,0,8.8,0.5,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,2.7
Jamaree,Bouyea,G,1,0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Luka,Doncic,PG,66,66,36.2,32.4,0.8,7.8,8.6,8.0,1.4,0.5,3.6,2.5,2.2
Kyrie,Irving,PG,20,20,38.2,27.0,1.1,4.0,5.0,6.0,1.3,0.6,1.9,2.8,3.2
Spencer,Dinwiddie,PG,53,53,34.1,17.7,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,3.1
Christian,Wood,F,67,17,25.9,16.6,1.3,6.0,7.3,1.8,0.4,1.1,1.8,2.5,1.0
Tim,Hardaway Jr.,SF,71,45,30.3,14.4,0.3,3.2,3.5,1.8,0.7,0.2,0.8,1.7,2.2
Dorian,Finney-Smith,PF,40,40,32.2,9.1,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,1.6
Josh,Green,SG,60,21,25.7,9.1,0.9,2.1,3.0,1.7,0.7,0.1,1.2,2.6,1.4
Jaden,Hardy,G,48,5,14.8,8.8,0.2,1.6,1.9,1.4,0.4,0.1,1.0,1.3,1.4
Kemba,Walker,PG,9,1,16.0,8.0,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,4.8
Reggie,Bullock,SF,78,55,30.3,7.2,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,2.9
Dwight,Powell,C,76,64,19.2,6.7,2.0,2.2,4.1,0.9,0.6,0.3,0.9,2.8,1.1
Maxi,Kleber,PF,37,5,25.1,5.9,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,1.9
Davis,Bertans,SF,45,1,10.9,4.6,0.2,1.0,1.2,0.5,0.2,0.2,0.2,1.2,2.1
Markieff,Morris,PF,8,1,8.8,4.5,0.0,1.5,1.5,0.8,0.1,0.0,0.5,1.9,1.5
JaVale,McGee,C,42,7,8.5,4.4,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,0.3
Justin,Holiday,SF,18,2,16.4,4.4,0.2,1.6,1.8,0.9,0.8,0.5,0.6,1.7,1.6
McKinley,Wright IV,PG,27,1,12.4,4.2,0.3,1.4,1.7,2.1,0.3,0.2,0.7,0.9,3.1
A.J.,Lawson,G,14,0,7.6,3.9,0.4,1.0,1.4,0.1,0.1,0.0,0.2,0.7,0.7
Tyler,Dorsey,G,3,0,2.7,3.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Frank,Ntilikina,PG,47,5,12.9,2.9,0.1,1.2,1.3,1.2,0.3,0.1,0.6,1.4,2.0
Theo,Pinson,G,40,1,8.1,2.4,0.3,1.3,1.6,1.2,0.2,0.0,0.3,0.9,3.8
Chris,Silva,F,1,0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Facundo,Campazzo,G,8,0,6.5,1.3,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,3.0
Jalen,Green,SG,76,76,34.2,22.1,0.6,3.2,3.7,3.7,0.8,0.2,2.6,1.7,1.4
Kevin,Porter Jr.,SG,59,59,34.3,19.2,1.3,4.0,5.3,5.7,1.4,0.3,3.2,2.6,1.8
Alperen,Sengun,C,75,72,28.9,14.8,3.2,5.8,9.0,3.9,0.9,0.9,2.6,3.4,1.5
Eric,Gordon,SG,47,47,30.2,13.1,0.3,1.8,2.1,2.9,0.6,0.4,1.8,1.0,1.6
Jabari,Smith Jr.,PF,79,79,31.0,12.8,1.5,5.7,7.2,1.3,0.5,0.9,1.3,2.9,1.0
Kenyon,Martin Jr.,F,82,49,28.0,12.7,1.5,4.0,5.5,1.5,0.5,0.4,1.1,1.8,1.4
Tari,Eason,F,82,5,21.5,9.3,2.4,3.7,6.0,1.1,1.2,0.6,1.2,2.3,0.9
Jae'Sean,Tate,SF,31,7,21.8,9.1,1.3,2.5,3.8,2.7,0.7,0.2,1.5,3.4,1.8
Josh,Christopher,SG,64,2,12.3,5.8,0.3,0.8,1.1,1.1,0.5,0.2,0.9,0.9,1.2
Garrison,Mathews,SG,45,0,13.4,4.8,0.2,1.2,1.4,0.5,0.5,0.1,0.4,1.2,1.3
TyTy,Washington Jr.,G,31,2,14.0,4.7,0.1,1.4,1.5,1.5,0.5,0.1,0.5,0.9,3.4
Bruno,Fernando,PF,31,4,11.7,4.1,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,1.5
Daishen,Nix,SG,57,7,16.0,4.0,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1.0,1.5
Darius,Days,F,4,0,6.3,3.8,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,INF
Boban,Marjanovic,C,31,0,5.5,3.3,0.6,1.3,1.9,0.3,0.2,0.1,0.5,0.3,0.6
Usman,Garuba,PF,75,1,12.9,3.0,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,1.4
Frank,Kaminsky,PF,10,0,5.9,1.8,0.4,1.2,1.6,1.1,0.1,0.3,0.0,0.1,INF
Trevor,Hudgins,G,5,0,5.6,1.8,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,3.0
Ja,Morant,PG,5,5,37.4,24.6,1.6,5.2,6.8,7.0,1.8,0.2,3.4,2.4,2.1
Desmond,Bane,SG,6,6,38.5,23.5,1.2,4.8,6.0,3.2,0.5,0.0,2.8,3.2,1.1
Jaren,Jackson Jr.,PF,6,6,36.7,18.0,3.3,4.5,7.8,1.5,1.0,2.0,3.0,4.0,0.5
