First Name,Last Name,Position,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
Furkan,Korkmaz,SG,3,0,3.7,0.7,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.0,1.0
Dewayne,Dedmon,C,1,0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Montrezl,Harrell,C,2,0,3.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Pascal,Siakam,PF,71,71,37.4,24.2,1.8,6.0,7.8,5.8,0.9,0.5,2.4,3.2,2.5
Fred,VanVleet,SG,69,69,36.7,19.3,0.4,3.6,4.1,7.2,1.8,0.6,2.0,2.8,3.5
Gary,Trent Jr.,SG,66,44,32.1,17.4,0.5,2.2,2.6,1.6,1.6,0.2,0.8,1.5,1.9
O.G.,Anunoby,SF,67,67,35.6,16.8,1.4,3.5,5.0,2.0,1.9,0.7,2.0,3.0,1.0
Scottie,Barnes,SF,77,76,34.8,15.3,2.3,4.3,6.6,4.8,1.1,0.8,2.0,2.2,2.4
Jakob,Poeltl,C,26,25,27.2,13.1,3.2,5.9,9.1,2.2,1.2,1.3,1.1,3.0,1.9
Chris,Boucher,PF,76,0,20.0,9.4,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,0.7
Precious,Achiuwa,PF,55,12,20.7,9.2,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,0.8
Otto,Porter Jr.,SF,8,2,18.3,5.5,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,2.0
Malachi,Flynn,PG,53,2,13.0,4.6,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,2.8
Dalano,Banton,G,31,2,9.0,4.6,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,2.0
Will,Barton,G,16,2,13.2,4.5,0.3,1.3,1.6,1.1,0.7,0.2,0.2,1.1,5.7
Thaddeus,Young,PF,54,9,14.7,4.4,1.3,1.8,3.1,1.4,1.0,0.1,0.8,1.6,1.8
Christian,Koloko,C,58,19,13.8,3.1,1.4,1.5,2.9,0.5,0.4,1.0,0.3,2.2,1.6
Juancho,Hernangomez,PF,42,10,14.6,2.9,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1.0,1.7
Jeff,Dowtin Jr.,PG,25,0,10.4,2.4,0.2,0.7,0.9,1.2,0.4,0.1,0.2,0.5,6.2
Ron,Harper Jr.,F,9,0,5.3,2.2,0.3,0.4,0.8,0.4,0.0,0.1,0.0,0.3,INF
Khem,Birch,C,20,0,8.1,2.2,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,0.9
Justin,Champagnie,SF,3,0,3.7,2.0,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,INF
Joe,Wieskamp,SF,9,0,5.6,1.0,0.0,0.4,0.4,0.3,0.0,0.0,0.1,0.3,3.0
Zach,LaVine,SG,77,77,35.9,24.8,0.5,3.9,4.5,4.2,0.9,0.2,2.5,2.1,1.7
DeMar,DeRozan,SF,74,74,36.2,24.5,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,2.5
